"","company","Product.code...number","full_address","address","city","country","name","brand","product_code","product_number","category","company_philips","company_akzo","company_unilever","company_van_houten"
"1","Phillips","p-5","Groningensingel 147,arnhem,the netherlands","Groningensingel 147","arnhem","the netherlands","dhr p. jansen","philips","p",5,"Smartphone",1,0,0,0
"2","phillips","p-43","Groningensingel 148,arnhem,the netherlands","Groningensingel 148","arnhem","the netherlands","dhr p. hansen","philips","p",43,"Smartphone",1,0,0,0
"3","philips","x-3","Groningensingel 149,arnhem,the netherlands","Groningensingel 149","arnhem","the netherlands","dhr j. Gansen","philips","x",3,"Laptop",1,0,0,0
"4","phllips","x-34","Groningensingel 150,arnhem,the netherlands","Groningensingel 150","arnhem","the netherlands","dhr p. mansen","philips","x",34,"Laptop",1,0,0,0
"5","phillps","x-12","Groningensingel 151,arnhem,the netherlands","Groningensingel 151","arnhem","the netherlands","dhr p. fransen","phillps","x",12,"Laptop",0,0,0,0
"6","phillipS","p-23","Groningensingel 152,arnhem,the netherlands","Groningensingel 152","arnhem","the netherlands","dhr p. franssen","philips","p",23,"Smartphone",1,0,0,0
"7","akzo","v-43","Leeuwardenweg 178,arnhem,the netherlands","Leeuwardenweg 178","arnhem","the netherlands","dhr p. bansen","akzo","v",43,"TV",0,1,0,0
"8","Akzo","v-12","Leeuwardenweg 179,arnhem,the netherlands","Leeuwardenweg 179","arnhem","the netherlands","dhr p. vansen","akzo","v",12,"TV",0,1,0,0
"9","AKZO","x-5","Leeuwardenweg 180,arnhem,the netherlands","Leeuwardenweg 180","arnhem","the netherlands","dhr p. bransen","akzo","x",5,"Laptop",0,1,0,0
"10","akz0","p-34","Leeuwardenweg 181,arnhem,the netherlands","Leeuwardenweg 181","arnhem","the netherlands","dhr p. janssen","akzo","p",34,"Smartphone",0,1,0,0
"11","ak zo","q-5","Leeuwardenweg 182,arnhem,the netherlands","Leeuwardenweg 182","arnhem","the netherlands","mevr l.  rokken","akzo","q",5,"Tablet",0,1,0,0
"12","akzo","q-9","Leeuwardenweg 183,arnhem,the netherlands","Leeuwardenweg 183","arnhem","the netherlands","mevr l.  lokken","akzo","q",9,"Tablet",0,1,0,0
"13","akzo","x-8","Leeuwardenweg 184,arnhem,the netherlands","Leeuwardenweg 184","arnhem","the netherlands","mevr l.  mokken","akzo","x",8,"Laptop",0,1,0,0
"14","phillips","p-56","Delfzijlstraat 54,arnhem,the netherlands","Delfzijlstraat 54","arnhem","the netherlands","mevr l.  mokken","philips","p",56,"Smartphone",1,0,0,0
"15","fillips","v-67","Delfzijlstraat 55,arnhem,the netherlands","Delfzijlstraat 55","arnhem","the netherlands","mevr l.  mokken","philips","v",67,"TV",1,0,0,0
"16","phlips","v-21","Delfzijlstraat 56,arnhem,the netherlands","Delfzijlstraat 56","arnhem","the netherlands","mevr l.  mokken","philips","v",21,"TV",1,0,0,0
"17","Van Houten","x-45","Delfzijlstraat 57,arnhem,the netherlands","Delfzijlstraat 57","arnhem","the netherlands","mevr l.  sokken","van houten","x",45,"Laptop",0,0,0,1
"18","van Houten","v-56","Delfzijlstraat 58,arnhem,the netherlands","Delfzijlstraat 58","arnhem","the netherlands","mevr l.  wokken","van houten","v",56,"TV",0,0,0,1
"19","van houten","v-65","Delfzijlstraat 59,arnhem,the netherlands","Delfzijlstraat 59","arnhem","the netherlands","mevr l.  kokken","van houten","v",65,"TV",0,0,0,1
"20","van houten","x-21","Delfzijlstraat 60,arnhem,the netherlands","Delfzijlstraat 60","arnhem","the netherlands","mevr l.  Bokken","van houten","x",21,"Laptop",0,0,0,1
"21","Van Houten","p-23","Delfzijlstraat 61,arnhem,the netherlands","Delfzijlstraat 61","arnhem","the netherlands","mevr l.  dokken","van houten","p",23,"Smartphone",0,0,0,1
"22","unilver","x-3","Jourestraat 23,arnhem,the netherlands","Jourestraat 23","arnhem","the netherlands","mevr l.  gokken","unilever","x",3,"Laptop",0,0,1,0
"23","unilever","q-4","Jourestraat 24,arnhem,the netherlands","Jourestraat 24","arnhem","the netherlands","mevr l.  stokken","unilever","q",4,"Tablet",0,0,1,0
"24","Unilever","q-6","Jourestraat 25,arnhem,the netherlands","Jourestraat 25","arnhem","the netherlands","mevr l.  rokken","unilever","q",6,"Tablet",0,0,1,0
"25","unilever","q-8","Jourestraat 26,arnhem,the netherlands","Jourestraat 26","arnhem","the netherlands","mevr l.  rokken","unilever","q",8,"Tablet",0,0,1,0
